"Age";"CO2";"Sr"
10;424,807333333333;0,70901843
20;794,775384615385;0,70871901
30;850,745454545455;0,70817008
40;761,674;0,70781709
50;775,486;0,70774197
60;968,65;0,707750055
70;1246,02;0,707814845
80;1390,962;0,70764805
90;1439,385;0,70743181
100;1742,02666666667;0,70737832
110;2196,398;0,70741781
120;2490,76;0,707276105
130;2163,275;0,70739818
140;1358,755;0,70737927
150;779,903076923077;0,70718515
160;557,522;0,706947405
170;569,806;0,706945375
180;583,778;0,70726053
190;526,777;0,707175395
200;561,911333333333;0,707538435
210;894,344666666667;0,707731145
220;1782,652;0,70785362
230;2014,195;0,70772218
240;2037,18;0,707628375
250;2255,368;0,70786063
