"stages";"Temperature"
"Holocene";21,3760030864198
"Pleistocene";15,8993430195831
"Pliocene";17,3187429264349
"Miocene";16,4360925449871
"Oligocene";20,3697080291971
"Eocene";20,6514547118024
"Paleocene";17,7877948717949
"Maastrichtian";16,6313253012048
"Campanian";18,8428222523745
"U. Campanian";16,15
"L. Campanian";18,625
"basal Campanian";17,05
"Santonian";27,5609836065574
"basal Santonian";18,85
"Coniacian";29,782487804878
"Turonian";31,8252618135377
"L. Turonian";35,5
"Cenomanian";27,4574900398406
"U. Cenomanian (Guerangeri zone)";25,6
"L. Cenomanian";25,3
"Albian";24,0600440044004
"U. Albian (Dispar zone, Perinflatum horizon) ";26,95
"U. Albian (Mortoniceras inflatum zone) ";30,55
"Vraconian";24,25
"M. Albian (Lyelli to Intermedius zone) ";21,325
"upper part of the L. Albian ";22,45
"L. Albian";24,25
"L. Albian (TardefurcatusMamillatum zone)";21,1
"Aptian";21,0470833333333
"U. Aptian (Jacobi zone) ";23,8
"U. Aptian";21,1
"Gargasian";20,875
"U. Bedoulian (Furcata zone) ";24,25
"L. Bedoulian";14,8
"L. Bedoulian (Tuarkyricus zone) ";18,85
"Bedoulian (lower part of the Tuarkyricus zone)";18,85
"Barremian";22,8432727272727
"L. Barremian  (lower part of the Caillaudia zone)";21,55
"Hauterivian";21,0041071428571
"L. Hauterivian (Balearis zone to the lower part of the Angulicostata Auct.) ";23,8
"L. Hauterivian (Nodosoplicatum zone) ";19,3
"L. Hauterivian";17,95
"Valanginian";17,5978333333333
"U. Valanginian (Callidiscus zone)";20,2
"U. Valanginian (Trinodosum zone)";17,05
"U. Valanginian (Pronecostatum horizon)";15,7
"L. Valanginian";22,50625
"Valanginian (Pertransiens zone) ";20,65
"U. Berriasian-L.  Valanginian (Alpillensis to Pertransiens zone)";13,9
"L. Valanginian (Otopeta zone)";18,72
"Berriasian";16,8085714285714
"U. Berriasian (Alpillensis zone)";17,5
"U. Berriasian";25,47
"Tithonian";20,05
"Kimmeridgian";20,2542857142857
"Lower Tithonian ";18,6948275862069
"Oxfordian";19,895306122449
"L. Oxfordian";20,2
"Callovian";20,6261392405063
"Bathonian";24,9114705882353
"Bajocian";21,2422950819672
"Aalenian";22,8471739130435
"Toarcian";23,5829947460595
"Pliensbachian";20,1592094313454
"Sinemurian";19,9853947368421
"Hettangian";16,2366336633663
"Rhaetian";15,292962962963
"Norian";23,906
"Carnian";23,3076344086022
"Ladinian";27,2108
"Ladinian, Fassanian";30,68
"Anisian, Illyrian";22,79
"Anisian";26,363
"Olenekian";27,8519230769231
"Induan";29,2042028985507
