age,iso_res_C,iso_res_S,res_C,res_S,time,temperature,tempC,SAT_tropical,SAT_equator,P,O,A,S,G,C,PYR,GYP,N,OSr,SSr,d13c_A,delta_mccb,d34s_S,delta_G,delta_C,delta_PYR,delta_GYP,delta_OSr,DEGASS,W,EVO,CPLAND,Bforcing,BAS_AREA,GRAN_AREA,CO2(PPM),RCO2,O2,RO2,mrO2,VEG,ANOX,iceline,mocb,locb,mccb,mpsb,mgsb,silw,carbw,oxidw,basw,granw,phosw,psea,nfix,denit,pyrw,gypw,ocdeg,ccdeg,pyrdeg,gypdeg,sfw,Sr_granw,Sr_basw,Sr_sedw,Sr_mantle,dSSr,relativenewp,erosion_tot,time_myr
600,-2.86E+22,2.99E+21,5.7E+21,4.18E+20,600000000,286.3,13.3,23.21,25.39,3.1E+15,3.7E+18,9.58E+18,2E+18,6.88E+20,5E+21,2.16E+20,2E+20,4.35E+16,1.2E+17,5E+18,0,0,35,-27,-2,-5,20,0.71,2.04,0,0,1,0.75,0.55,1.8,2520,9,2.1,0.1,0.03,0,0.99,46.66,3E+12,0,9.59017E+12,4.2E+11,68843513564,5.38795E+12,4.20222E+12,3.06053E+11,6.23886E+11,4.76407E+12,21230599798,21230599798,8.67E+12,1.71E+15,4.41233E+11,5.25277E+11,1.39953E+12,1.83211E+13,0,0,3.21217E+12,6042230860,791270655,8929713275,14860422973,0.71,1,11827029848,-600
600,-2.86E+22,2.99E+21,5.7E+21,4.18E+20,600000000,286.3,13.3,23.21,25.39,3.1E+15,3.7E+18,9.58E+18,2E+18,6.88E+20,5E+21,2.16E+20,2E+20,4.35E+16,1.2E+17,5E+18,0,0,35,-27,-2,-5,20,0.71,2.04,0,0,1,0.75,0.55,1.8,2520,9,2.1,0.1,0.03,0,0.99,46.66,3E+12,0,9.59017E+12,4.2E+11,68843513564,5.38795E+12,4.20222E+12,3.06053E+11,6.23886E+11,4.76407E+12,21230599798,21230599798,8.67E+12,1.71E+15,4.41233E+11,5.25277E+11,1.39953E+12,1.83211E+13,0,0,3.21217E+12,6042230860,791270655,8929713275,14860422973,0.71,1,11827029848,-600
600,-2.86E+22,2.99E+21,5.7E+21,4.18E+20,600000000,286.3,13.3,23.21,25.39,3.1E+15,3.7E+18,9.58E+18,2E+18,6.88E+20,5E+21,2.16E+20,2E+20,4.35E+16,1.2E+17,5E+18,0,0,35,-27,-2,-5,20,0.71,2.04,0,0,1,0.75,0.55,1.8,2520,9,2.1,0.1,0.03,0,0.99,46.66,3E+12,0,9.59017E+12,4.2E+11,68843513564,5.38795E+12,4.20222E+12,3.06053E+11,6.23886E+11,4.76407E+12,21230599798,21230599798,8.67002E+12,1.71E+15,4.41233E+11,5.25277E+11,1.39953E+12,1.83211E+13,0,0,3.21217E+12,6042230860,791270655,8929713275,14860422973,0.71,1,11827029848,-600
600,-2.86E+22,2.99E+21,5.7E+21,4.18E+20,600000000,286.3,13.3,23.21,25.39,3.1E+15,3.7E+18,9.58E+18,2E+18,6.88E+20,5E+21,2.16E+20,2E+20,4.35E+16,1.2E+17,5E+18,0,0,35,-27,-2,-5,20,0.71,2.04,0,0,1,0.75,0.55,1.8,2520,9,2.1,0.1,0.03,0,0.99,46.66,3E+12,0,9.59017E+12,4.2E+11,68843513564,5.38795E+12,4.20222E+12,3.06053E+11,6.23886E+11,4.76407E+12,21230599798,21230599798,8.67003E+12,1.71E+15,4.41233E+11,5.25277E+11,1.39953E+12,1.83211E+13,0,0,3.21217E+12,6042230860,791270655,8929713275,14860422973,0.71,1,11827029849,-600
600,-2.86E+22,2.99E+21,5.7E+21,4.18E+20,600000000,286.3,13.3,23.21,25.39,3.1E+15,3.7E+18,9.58E+18,2E+18,6.88E+20,5E+21,2.16E+20,2E+20,4.35E+16,1.2E+17,5E+18,0,0,35,-27,-2,-5,20,0.71,2.04,0,0,1,0.75,0.55,1.8,2520,9,2.1,0.1,0.03,0,0.99,46.66,2.99999E+12,0,9.59017E+12,4.19999E+11,68843513564,5.38795E+12,4.20222E+12,3.06053E+11,6.23886E+11,4.76407E+12,21230599799,21230599799,8.67013E+12,1.71E+15,4.41233E+11,5.25277E+11,1.39953E+12,1.83211E+13,0,0,3.21217E+12,6042230860,791270655,8929713276,14860422973,0.71,1,11827029849,-600
600,-2.86E+22,2.99E+21,5.7E+21,4.18E+20,600000000,286.3,13.3,23.21,25.39,3.1E+15,3.7E+18,9.58E+18,2E+18,6.88E+20,5E+21,2.16E+20,2E+20,4.35E+16,1.2E+17,5E+18,0,0,35,-27,-2,-5,20,0.71,2.04,0,0,1,0.75,0.55,1.8,2520,9,2.1,0.1,0.03,0,0.99,46.66,2.99999E+12,0,9.59017E+12,4.19998E+11,68843513564,5.38795E+12,4.20222E+12,3.06053E+11,6.23886E+11,4.76407E+12,21230599799,21230599799,8.67024E+12,1.71E+15,4.41233E+11,5.25277E+11,1.39953E+12,1.83211E+13,0,0,3.21217E+12,6042230860,791270655,8929713276,14860422973,0.71,1,11827029849,-600
600,-2.86E+22,2.99E+21,5.7E+21,4.18E+20,600000000,286.3,13.3,23.21,25.39,3.1E+15,3.7E+18,9.58E+18,2E+18,6.88E+20,5E+21,2.16E+20,2E+20,4.35E+16,1.2E+17,5E+18,0,0,35,-27,-2,-5,20,0.71,2.04,0,0,1,0.75,0.55,1.8,2520,9,2.1,0.1,0.03,0,0.99,46.66,2.99998E+12,0,9.59017E+12,4.19998E+11,68843513565,5.38795E+12,4.20222E+12,3.06053E+11,6.23886E+11,4.76407E+12,21230599800,21230599800,8.67034E+12,1.71E+15,4.41233E+11,5.25277E+11,1.39953E+12,1.83211E+13,0,0,3.21217E+12,6042230860,791270655.1,8929713276,14860422973,0.71,1,11827029849,-600
600,-2.86E+22,2.99E+21,5.7E+21,4.18E+20,600000000,286.3,13.3,23.21,25.39,3.1E+15,3.7E+18,9.58E+18,2E+18,6.88E+20,5E+21,2.16E+20,2E+20,4.35E+16,1.2E+17,5E+18,0,0,35,-27,-2,-5,20,0.71,2.04,0,0,1,0.75,0.55,1.8,2520,9,2.1,0.1,0.03,0,0.99,46.66,2.99993E+12,0,9.59017E+12,4.19991E+11,68843513568,5.38795E+12,4.20222E+12,3.06053E+11,6.23886E+11,4.76407E+12,21230599808,21230599808,8.67137E+12,1.71E+15,4.41233E+11,5.25277E+11,1.39953E+12,1.83211E+13,0,0,3.21217E+12,6042230863,791270655.4,8929713279,14860422974,0.71,1,11827029852,-600
600,-2.86E+22,2.99E+21,5.7E+21,4.18E+20,600000000,286.3,13.3,23.21,25.39,3.1E+15,3.7E+18,9.58E+18,2E+18,6.88E+20,5E+21,2.16E+20,2E+20,4.35E+16,1.2E+17,5E+18,0,0,35,-27,-2,-5,20,0.71,2.04,0,0,1,0.75,0.55,1.8,2520,9,2.1,0.1,0.03,0,0.99,46.66,2.99988E+12,0,9.59017E+12,4.19984E+11,68843513572,5.38795E+12,4.20222E+12,3.06053E+11,6.23886E+11,4.76407E+12,21230599816,21230599816,8.6724E+12,1.71E+15,4.41233E+11,5.25277E+11,1.39953E+12,1.83211E+13,0,0,3.21217E+12,6042230865,791270655.7,8929713282,14860422974,0.71,1,11827029854,-600
600,-2.86E+22,2.99E+21,5.7E+21,4.18E+20,600000000,286.3,13.3,23.21,25.39,3.1E+15,3.7E+18,9.58E+18,2E+18,6.88E+20,5E+21,2.16E+20,2E+20,4.35E+16,1.2E+17,5E+18,0,0,35,-27,-2,-5,20,0.71,2.04,0,0,1,0.75,0.55,1.8,2520,9,2.1,0.1,0.03,0,0.99,46.66,2.99983E+12,0,9.59017E+12,4.19977E+11,68843513575,5.38795E+12,4.20222E+12,3.06053E+11,6.23886E+11,4.76407E+12,21230599824,21230599824,8.67343E+12,1.71E+15,4.41233E+11,5.25277E+11,1.39953E+12,1.83211E+13,0,0,3.21217E+12,6042230867,791270656,8929713284,14860422974,0.71,1,11827029857,-600
